min_calories,max_calories,purpose,diet_type,meal_plan
2400,2700,Maintenance,Low-Carb,"Breakfast: Bacon and eggs (500 cal)
Lunch: Chicken salad with avocado (600 cal)
Snack: Cheese and nuts (300 cal)
Dinner: Grilled steak with vegetables (700 cal)
Snack: Greek yogurt with berries (250 cal)"
2700,3000,Lean Bulk,Standard,"Breakfast: Protein pancakes with syrup (600 cal)
Lunch: Beef burrito bowl (700 cal)
Snack: Hard-boiled eggs (200 cal)
Dinner: Grilled chicken with pasta (800 cal)
Snack: Casein protein shake (300 cal)"
2700,3000,Lean Bulk,Mediterranean,"Breakfast: Greek yogurt with granola (600 cal)
Lunch: Beef kebab with pita bread (700 cal)
Snack: Olives and cheese (200 cal)
Dinner: Grilled chicken with Mediterranean vegetables (800 cal)
Snack: Fresh fruit with nuts (300 cal)"
2700,3000,Lean Bulk,Vegetarian,"Breakfast: Protein smoothie with Greek yogurt (600 cal)
Lunch: Quinoa bowl with vegetables (700 cal)
Snack: Mixed nuts and seeds (200 cal)
Dinner: Vegetable curry with rice (800 cal)
Snack: Greek yogurt with honey (300 cal)"
2700,3000,Lean Bulk,Vegan,"Breakfast: Vegan protein pancakes (600 cal)
Lunch: Vegan burrito bowl (700 cal)
Snack: Vegan protein balls (200 cal)
Dinner: Vegan pasta with lentil meatballs (800 cal)
Snack: Vegan protein shake (300 cal)"
2700,3000,Lean Bulk,Low-Carb,"Breakfast: Protein pancakes with bacon (600 cal)
Lunch: Beef bowl with vegetables (700 cal)
Snack: Hard-boiled eggs (200 cal)
Dinner: Grilled chicken with vegetables (800 cal)
Snack: Protein shake (300 cal)"
3000,3300,Moderate Bulk,Standard,"Breakfast: 4 eggs with bacon and toast (700 cal)
Lunch: Chicken parmesan with spaghetti (800 cal)
Snack: Peanut butter sandwich (400 cal)
Dinner: Ribeye steak with baked potato (900 cal)
Snack: Mass gainer shake (500 cal)"
3000,3300,Moderate Bulk,Mediterranean,"Breakfast: Greek yogurt with honey and nuts (700 cal)
Lunch: Chicken parmesan with pita bread (800 cal)
Snack: Hummus with veggies (400 cal)
Dinner: Grilled steak with Mediterranean vegetables (900 cal)
Snack: Fresh fruit with nuts (500 cal)"
3000,3300,Moderate Bulk,Vegetarian,"Breakfast: Protein smoothie with Greek yogurt (700 cal)
Lunch: Vegetable curry with rice (800 cal)
Snack: Mixed nuts and seeds (400 cal)
Dinner: Vegetable lasagna (900 cal)
Snack: Greek yogurt with granola (500 cal)"
3000,3300,Moderate Bulk,Vegan,"Breakfast: Vegan protein waffles (700 cal)
Lunch: Vegan parmesan with spaghetti (800 cal)
Snack: Vegan peanut butter sandwich (400 cal)
Dinner: Vegan steak with baked potato (900 cal)
Snack: Vegan mass gainer shake (500 cal)"
3000,3300,Moderate Bulk,Low-Carb,"Breakfast: Bacon and eggs with avocado (700 cal)
Lunch: Chicken parmesan with vegetables (800 cal)
Snack: Cheese and nuts (400 cal)
Dinner: Ribeye steak with vegetables (900 cal)
Snack: Protein shake (500 cal)"
3300,9999,High Calorie,Standard,"Breakfast: Steak and eggs with hash browns (800 cal)
Lunch: Double cheeseburger with fries (900 cal)
Snack: Nuts and dried fruit (500 cal)
Dinner: BBQ ribs with mac and cheese (1000 cal)
Snack: Whole milk with peanut butter (600 cal)"
3300,9999,High Calorie,Mediterranean,"Breakfast: Greek yogurt with granola and nuts (800 cal)
Lunch: Grilled chicken with pita bread (900 cal)
Snack: Hummus with veggies (500 cal)
Dinner: Grilled steak with Mediterranean vegetables (1000 cal)
Snack: Fresh fruit with nuts (600 cal)"
3300,9999,High Calorie,Vegetarian,"Breakfast: Protein smoothie with Greek yogurt (800 cal)
Lunch: Vegetable curry with rice (900 cal)
Snack: Mixed nuts and seeds (500 cal)
Dinner: Vegetable lasagna (1000 cal)
Snack: Greek yogurt with granola (600 cal)"
3300,9999,High Calorie,Vegan,"Breakfast: Vegan protein waffles (800 cal)
Lunch: Vegan parmesan with spaghetti (900 cal)
Snack: Vegan peanut butter sandwich (500 cal)
Dinner: Vegan steak with baked potato (1000 cal)
Snack: Vegan mass gainer shake (600 cal)"
3300,9999,High Calorie,Low-Carb,"Breakfast: Bacon and eggs with avocado (800 cal)
Lunch: Chicken parmesan with vegetables (900 cal)
Snack: Cheese and nuts (500 cal)
Dinner: Ribeye steak with vegetables (1000 cal)
Snack: Protein shake (600 cal)"
